50
4921,-1,0;
13466,-1,0;
14021,-1,0;
7164,-1,0;
182,-1,0;
3497,-1,0;
847,-1,0;
7449,-1,0;
11758,-1,0;
2513,-1,0;
12626,-1,0;
5033,-1,0;
13360,-1,0;
5076,-1,0;
2065,-1,0;
9662,-1,0;
9246,-1,0;
2441,-1,0;
442,-1,0;
1988,-1,0;
8877,-1,0;
11966,-1,0;
2394,-1,0;
2834,-1,0;
2434,-1,0;
14123,-1,0;
5510,-1,0;
8079,-1,0;
1703,-1,0;
2773,-1,0;
2670,-1,0;
13794,-1,0;
5690,-1,0;
927,-1,0;
826,-1,0;
9128,-1,0;
13561,-1,0;
13265,-1,0;
235,-1,0;
1804,-1,0;
12747,-1,0;
851,-1,0;
3157,-1,0;
8188,-1,0;
1141,-1,0;
13831,-1,0;
14166,-1,0;
7163,-1,0;
8046,-1,0;
1992,-1,0;
