120
1445,0,;101,-1,;
1068,0,;14131,-1,;
7106,0,;134,-1,;
226,0,;14188,-1,;
14097,0,;153,-1,;
10594,0,;14139,-1,;
583,0,;163,5,5;14187,-1,;
2169,0,;14153,-1,;
3386,0,;110,-1,;
3186,0,;14190,-1,;
4029,0,;165,-1,;
846,0,;14142,-1,;
5882,0,;86,-1,;
13298,0,;14150,-1,;
1854,0,;90,-1,;
2002,0,;14146,-1,;
898,0,;142,-1,;
233,0,;14139,-1,;
7301,0,;161,-1,;
14042,0,;14166,-1,;
4056,0,;109,-1,;
2438,0,;14114,-1,;
7107,0,;133,-1,;
10115,0,;14125,-1,;
4413,0,;129,-1,;
10662,0,;14128,-1,;
12575,0,;141,-1,;
12395,0,;14126,-1,;
1789,0,;108,-1,;
9638,0,;14188,-1,;
1311,0,;135,-1,;
4129,0,;14128,-1,;
8261,0,;113,-1,;
5131,0,;14148,-1,;
7390,0,;166,-1,;
6618,0,;14193,-1,;
13055,0,;118,-1,;
7726,0,;14176,-1,;
1480,0,;136,-1,;
2198,0,;14151,-1,;
13806,0,;114,-1,;
6905,0,;14149,-1,;
462,0,;126,-1,;14166,-1,;
8170,0,;14124,-1,;
1616,0,;104,-1,;
14047,0,;14158,-1,;
13148,0,;128,-1,;
3070,0,;14144,-1,;
11357,0,;100,-1,;
4226,0,;14125,-1,;
12735,0,;137,-1,;
12485,0,;14148,-1,;
11160,0,;157,-1,;
4701,0,;14133,-1,;
6065,0,;102,-1,;
2493,0,;14167,-1,;
6469,0,;85,-1,;
8199,0,;14132,-1,;
14034,0,;89,-1,;
8046,0,;14136,-1,;
6285,0,;152,-1,;
2007,0,;14166,-1,;
273,0,;105,2,2;14147,-1,;
10341,0,;14185,-1,;
14019,0,;158,-1,;
1328,0,;14135,-1,;
2250,0,;150,-1,;
1747,0,;14115,-1,;
564,0,;144,-1,;14143,-1,;
3180,0,;14193,-1,;
7933,0,;121,-1,;
869,0,;14187,-1,;
8242,0,;94,-1,;
8191,0,;14147,-1,;
3793,0,;97,-1,;
3314,0,;14170,-1,;
10231,0,;149,-1,;
3075,0,;14159,-1,;
6005,0,;125,-1,;
5025,0,;14175,-1,;
13267,0,;162,-1,;
6241,0,;14151,-1,;
14059,0,;115,-1,;
6569,0,;14156,-1,;
8410,0,;93,-1,;
1017,0,;14172,-1,;
2905,0,;132,-1,;
11973,0,;14122,-1,;
10613,0,;112,-1,;
13852,0,;14187,5,5;159,-1,;
3654,0,;127,-1,;
12816,0,;14153,-1,;
1869,0,;106,-1,;
408,0,;14142,-1,;
881,0,;124,-1,;
4409,0,;14118,-1,;
825,0,;154,-1,;
3125,0,;14139,-1,;
4037,0,;88,-1,;
1915,0,;14142,-1,;
11118,0,;116,-1,;
10130,0,;14118,-1,;
11217,0,;130,-1,;
11502,0,;14188,-1,;
13701,0,;92,-1,;
1083,0,;14124,-1,;
8071,0,;91,-1,;
13456,0,;14118,-1,;
11085,0,;164,-1,;
2997,0,;14173,-1,;
1172,0,;160,-1,;
8186,0,;14159,-1,;
13996,0,;138,-1,;
13676,0,;14176,-1,;
12492,0,;145,-1,;
11097,0,;14163,-1,;
4104,0,;156,-1,;
6857,0,;14149,-1,;
6182,0,;131,-1,;
305,0,;14187,-1,;
