map,solver,w,h,throughput,runtime,avg_collisions,success_rate
sorting,ECBS,20,3,134.0,0.13741796517412935,0.3308457711442786,1.0
sorting,ECBS,20,5,80.0,0.14149420416666667,0.32916666666666666,1.0
sorting,ECBS,20,8,50.0,0.1448130333333333,0.52,1.0
sorting,ECBS,40,3,134.0,0.2508535124378109,0.05223880597014926,1.0
sorting,ECBS,40,5,80.0,0.2573355583333334,0.09583333333333333,1.0
sorting,ECBS,40,8,50.0,0.26486871333333334,0.07333333333333333,1.0
sorting,ECBS,60,3,134.0,0.3732715671641791,0.01990049751243781,1.0
sorting,ECBS,60,5,80.0,0.38669146249999997,0.012500000000000002,1.0
sorting,ECBS,60,8,50.0,0.4054580266666667,0.006666666666666667,1.0
sorting,PBS,20,3,134.0,0.03707324626865672,6.796019900497512,1.0
sorting,PBS,20,5,80.0,0.0411239,7.854166666666667,1.0
sorting,PBS,20,8,50.0,0.04684311333333333,9.753333333333332,1.0
sorting,PBS,40,3,134.0,0.04048114179104478,7.85820895522388,1.0
sorting,PBS,40,5,80.0,0.04540222083333333,8.766666666666667,1.0
sorting,PBS,40,8,50.0,0.052687206666666674,11.306666666666667,1.0
sorting,PBS,60,3,134.0,0.04107846268656716,7.970149253731344,1.0
sorting,PBS,60,5,80.0,0.04587995833333333,8.691666666666666,1.0
sorting,PBS,60,8,50.0,0.05520381333333333,11.473333333333334,1.0
sorting,WHCA,20,3,134.0,0.09153141791044776,0.0,1.0
sorting,WHCA,20,5,80.0,0.09761366666666667,0.0,1.0
sorting,WHCA,20,8,50.0,0.10403626666666665,0.0,1.0
sorting,WHCA,40,3,134.0,0.11928124378109455,0.0,1.0
sorting,WHCA,40,5,80.0,0.1281356958333333,0.0,1.0
sorting,WHCA,40,8,50.0,0.14057683333333335,0.0,1.0
sorting,WHCA,60,3,134.0,0.13003333830845773,0.0,1.0
sorting,WHCA,60,5,80.0,0.139659625,0.0,1.0
sorting,WHCA,60,8,50.0,0.15808866666666666,0.0,1.0
warehouse,WHCA,20,3,18.5,61.75936048611111,0.0,0.6666666666666666
warehouse,WHCA,20,5,11.5,62.82942234090909,0.0,0.6666666666666666
warehouse,WHCA,20,8,5.333333333333333,82.92514683333333,0.0,1.0
warehouse,WHCA,40,3,12.666666666666666,81.20853395370371,0.0,1.0
warehouse,WHCA,40,5,11.5,62.87231015909091,0.0,0.6666666666666666
warehouse,WHCA,40,8,5.333333333333333,82.94992288095239,0.0,1.0
warehouse,WHCA,60,3,1.0,120.001,0.0,0.3333333333333333
warehouse,WHCA,60,5,1.0,120.001,0.0,0.6666666666666666
warehouse,WHCA,60,8,1.0,120.003,0.0,0.3333333333333333
