50
4127,-1,0;
1087,-1,0;
12834,-1,0;
776,-1,0;
12489,-1,0;
3116,-1,0;
13206,-1,0;
6001,-1,0;
14065,-1,0;
707,-1,0;
2709,-1,0;
13303,-1,0;
11254,-1,0;
9192,-1,0;
2673,-1,0;
9753,-1,0;
4817,-1,0;
1165,-1,0;
1714,-1,0;
6469,-1,0;
844,-1,0;
2654,-1,0;
494,-1,0;
3381,-1,0;
4998,-1,0;
1487,-1,0;
5485,-1,0;
12698,-1,0;
10881,-1,0;
4566,-1,0;
13579,-1,0;
7124,-1,0;
379,-1,0;
10197,-1,0;
2021,-1,0;
5374,-1,0;
11169,-1,0;
7127,-1,0;
1735,-1,0;
2095,-1,0;
13639,-1,0;
11139,-1,0;
1789,-1,0;
11745,-1,0;
7155,-1,0;
3862,-1,0;
3745,-1,0;
6693,-1,0;
151,-1,0;
4070,-1,0;
