0.089882,0,0,1956,3368,1905,1904,39.1,0,0,50,2,20
0.092337,0,0,2019,3525,1969,1968,40.38,0,8,50,2,20
0.092533,0,0,1930,3355,1879,1879,38.58,0,16,50,2,20
0.091354,0,0,1838,3203,1776,1771,36.52,0,24,50,2,20
0.089312,0,0,1681,2939,1624,1621,33.48,0,32,50,2,20
0.091081,1,2,1621,2826,1440,1439,29.8,1,40,50,2,20
0.08661,0,0,1436,2492,1372,1370,28.44,0,48,50,2,20
0.087319,0,0,1532,2632,1471,1467,30.42,0,56,50,2,20
0.089283,0,0,1658,2875,1612,1608,33.24,0,64,50,2,20
0.089551,0,0,1664,2876,1611,1610,33.22,0,72,50,2,20
0.086131,0,0,1694,2929,1640,1640,33.8,0,80,50,2,20
0.089698,0,0,1938,3361,1888,1888,38.76,0,88,50,2,20
0.088097,0,0,1825,3244,1773,1772,36.46,0,96,50,2,20
0.088428,0,0,1837,3306,1786,1784,36.72,0,104,50,2,20
0.08779,0,0,1809,3245,1736,1733,35.72,0,112,50,2,20
0.08559,0,0,1617,2836,1568,1567,32.36,0,120,50,2,20
0.088382,0,0,1815,3144,1762,1761,36.24,0,128,50,2,20
0.091547,1,2,1927,3373,1757,1756,36.14,1,136,50,2,20
0.0864,0,0,1717,2980,1667,1666,34.34,0,144,50,2,20
0.086918,0,0,1753,3028,1614,1607,33.28,0,152,50,2,20
0.085543,0,0,1711,2979,1659,1659,34.18,0,160,50,2,20
0.086986,0,0,1696,2978,1645,1645,33.9,0,168,50,2,20
0.085803,0,0,1675,2897,1626,1625,33.52,0,176,50,2,20
0.084628,0,0,1645,2873,1593,1591,32.86,0,184,50,2,20
0.08781,1,2,1659,2886,1512,1511,31.24,1,192,50,2,20
0.085656,0,0,1689,2946,1634,1629,33.68,0,200,50,2,20
0.084284,0,0,1565,2745,1519,1515,31.38,0,208,50,2,20
0.08421,0,0,1589,2768,1538,1535,31.76,0,216,50,2,20
0.083168,0,0,1551,2747,1498,1497,30.96,0,224,50,2,20
0.087134,0,0,1674,2973,1620,1616,33.4,0,232,50,2,20
0.0829,0,0,1539,2725,1491,1489,30.82,0,240,50,2,20
0.09134,1,2,1916,3397,1762,1759,36.24,1,248,50,2,20
0.083478,0,0,1521,2703,1460,1457,30.2,0,256,50,2,20
0.08776,0,0,1808,3188,1754,1752,36.08,0,264,50,2,20
0.085286,0,0,1718,3020,1648,1648,33.96,0,272,50,2,20
0.090769,1,2,1869,3271,1694,1690,34.88,1,280,50,2,20
0.086434,0,0,1838,3208,1780,1780,36.6,0,288,50,2,20
0.087376,0,0,1874,3253,1820,1820,37.4,0,296,50,2,20
0.093111,0,0,1841,3216,1753,1752,36.06,0,304,50,2,20
0.091467,0,0,1685,2965,1632,1628,33.64,0,312,50,2,20
0.091972,1,2,1881,3345,1742,1737,35.84,1,320,50,2,20
0.08669,0,0,1825,3229,1776,1775,36.52,0,328,50,2,20
0.085486,0,0,1685,2972,1623,1621,33.46,0,336,50,2,20
0.088167,1,2,1635,2887,1499,1498,30.98,1,344,50,2,20
0.08692,1,2,1531,2701,1362,1360,28.24,1,352,50,2,20
0.082092,0,0,1458,2543,1407,1405,29.14,0,360,50,2,20
0.0825,0,0,1409,2500,1358,1357,28.16,0,368,50,2,20
0.083719,0,0,1448,2549,1328,1322,27.56,0,376,50,2,20
0.083084,0,0,1507,2650,1457,1457,30.14,0,384,50,2,20
0.089728,1,2,1809,3173,1699,1698,34.98,1,392,50,2,20
