100
14003,0,;142,-1,;
12761,0,;14174,-1,;
5362,0,;154,-1,;
10014,0,;14158,-1,;
1843,0,;163,-1,;
431,0,;14173,-1,;
3662,0,;134,-1,;
12667,0,;14191,-1,;
387,0,;135,3,3;14157,-1,;
12441,0,;14177,-1,;
11317,0,;145,-1,;
12554,0,;14180,-1,;
2657,0,;137,-1,;
4246,0,;14190,-1,;
5401,0,;109,-1,;
12772,0,;14165,-1,;
213,0,;129,1,1;14142,-1,;
12983,0,;14157,-1,;
10254,0,;90,-1,;
10168,0,;14143,-1,;
3051,0,;110,-1,;
1216,0,;14175,-1,;
1352,0,;92,-1,;
13880,0,;14184,-1,;
14130,0,;102,-1,;
3694,0,;14131,-1,;
109,0,;108,1,1;14172,-1,;
5274,0,;14127,-1,;
1386,0,;126,-1,;
1203,0,;14164,-1,;
12517,0,;85,-1,;
7481,0,;14114,-1,;
3465,0,;105,-1,;
249,0,;14179,-1,;
765,0,;93,-1,;
1992,0,;14115,-1,;
9577,0,;85,-1,;
11489,0,;14133,-1,;
1061,0,;136,-1,;
872,0,;14137,-1,;
12202,0,;106,-1,;
11534,0,;14141,-1,;
1288,0,;112,-1,;
7109,0,;14154,-1,;
1364,0,;104,-1,;
11156,0,;14135,-1,;
1571,0,;143,-1,;
11449,0,;14184,-1,;
8054,0,;158,-1,;
5132,0,;14142,-1,;
6381,0,;165,-1,;
3974,0,;14124,-1,;
13397,0,;125,-1,;
12603,0,;14153,-1,;
6164,0,;117,-1,;
12792,0,;14171,-1,;
13580,0,;141,-1,;
1062,0,;14126,-1,;
11175,0,;86,-1,;
5714,0,;14132,-1,;
13305,0,;116,-1,;
882,0,;14185,-1,;
9245,0,;89,-1,;
11825,0,;14115,-1,;
130,0,;130,0,;14194,-1,;
3870,0,;14137,-1,;
4282,0,;166,-1,;
13235,0,;14174,-1,;
7398,0,;91,-1,;
9874,0,;14176,-1,;
10486,0,;153,-1,;
6139,0,;14140,-1,;
2007,0,;159,-1,;
8282,0,;14183,-1,;
4072,0,;122,-1,;
429,0,;14113,-1,;
7087,0,;114,-1,;
12216,0,;14126,-1,;
7734,0,;88,-1,;
11797,0,;14149,-1,;
2230,0,;131,-1,;
112,0,;14135,-1,;
12122,0,;111,-1,;
12403,0,;14179,-1,;
1099,0,;94,-1,;
1573,0,;14186,-1,;
13026,0,;87,-1,;
11890,0,;14139,-1,;
1305,0,;128,-1,;
9234,0,;14151,-1,;
4136,0,;101,-1,;
12782,0,;14121,-1,;
3326,0,;133,-1,;
2262,0,;14185,-1,;
12218,0,;121,-1,;
12157,0,;14119,-1,;
5602,0,;140,-1,;
10262,0,;14123,-1,;
2874,0,;103,-1,;
6970,0,;14152,-1,;
