100
14003,-1,0;
12761,-1,0;
5362,-1,0;
10014,-1,0;
1843,-1,0;
431,-1,0;
3662,-1,0;
12667,-1,0;
387,-1,0;
12441,-1,0;
11317,-1,0;
12554,-1,0;
2657,-1,0;
4246,-1,0;
5401,-1,0;
12772,-1,0;
213,-1,0;
12983,-1,0;
10254,-1,0;
10168,-1,0;
3051,-1,0;
1216,-1,0;
1352,-1,0;
13880,-1,0;
14130,-1,0;
3694,-1,0;
109,-1,0;
5274,-1,0;
1386,-1,0;
1203,-1,0;
12517,-1,0;
7481,-1,0;
3465,-1,0;
249,-1,0;
765,-1,0;
1992,-1,0;
9577,-1,0;
11489,-1,0;
1061,-1,0;
872,-1,0;
12202,-1,0;
11534,-1,0;
1288,-1,0;
7109,-1,0;
1364,-1,0;
11156,-1,0;
1571,-1,0;
11449,-1,0;
8054,-1,0;
5132,-1,0;
6381,-1,0;
3974,-1,0;
13397,-1,0;
12603,-1,0;
6164,-1,0;
12792,-1,0;
13580,-1,0;
1062,-1,0;
11175,-1,0;
5714,-1,0;
13305,-1,0;
882,-1,0;
9245,-1,0;
11825,-1,0;
130,-1,0;
3870,-1,0;
4282,-1,0;
13235,-1,0;
7398,-1,0;
9874,-1,0;
10486,-1,0;
6139,-1,0;
2007,-1,0;
8282,-1,0;
4072,-1,0;
429,-1,0;
7087,-1,0;
12216,-1,0;
7734,-1,0;
11797,-1,0;
2230,-1,0;
112,-1,0;
12122,-1,0;
12403,-1,0;
1099,-1,0;
1573,-1,0;
13026,-1,0;
11890,-1,0;
1305,-1,0;
9234,-1,0;
4136,-1,0;
12782,-1,0;
3326,-1,0;
2262,-1,0;
12218,-1,0;
12157,-1,0;
5602,-1,0;
10262,-1,0;
2874,-1,0;
6970,-1,0;
