80
4921,-1,0;
13466,-1,0;
14021,-1,0;
7164,-1,0;
182,-1,0;
3497,-1,0;
847,-1,0;
7449,-1,0;
11758,-1,0;
2513,-1,0;
12626,-1,0;
5033,-1,0;
13360,-1,0;
5076,-1,0;
2065,-1,0;
9662,-1,0;
9246,-1,0;
2441,-1,0;
442,-1,0;
1988,-1,0;
8877,-1,0;
11966,-1,0;
2394,-1,0;
2834,-1,0;
2434,-1,0;
14123,-1,0;
5510,-1,0;
8079,-1,0;
1703,-1,0;
2773,-1,0;
2670,-1,0;
13794,-1,0;
5690,-1,0;
927,-1,0;
826,-1,0;
9128,-1,0;
13561,-1,0;
13265,-1,0;
235,-1,0;
1804,-1,0;
12747,-1,0;
851,-1,0;
3157,-1,0;
8188,-1,0;
1141,-1,0;
13831,-1,0;
14166,-1,0;
7163,-1,0;
8046,-1,0;
1992,-1,0;
782,-1,0;
6079,-1,0;
7254,-1,0;
8186,-1,0;
5734,-1,0;
13007,-1,0;
13534,-1,0;
12425,-1,0;
7961,-1,0;
1901,-1,0;
619,-1,0;
13559,-1,0;
12640,-1,0;
3265,-1,0;
1371,-1,0;
1402,-1,0;
2098,-1,0;
1300,-1,0;
4558,-1,0;
11001,-1,0;
11918,-1,0;
12568,-1,0;
4258,-1,0;
12616,-1,0;
359,-1,0;
12722,-1,0;
2725,-1,0;
3128,-1,0;
489,-1,0;
8242,-1,0;
