map,solver,k,w,h,seed,status,runtime,throughput,avg_collisions,wall_time
warehouse,PBS,50,20,3,1,disconnected_graph,,0,,
warehouse,PBS,50,20,3,2,disconnected_graph,,0,,
warehouse,PBS,50,20,3,3,disconnected_graph,,0,,
warehouse,PBS,50,20,5,1,disconnected_graph,,0,,
warehouse,PBS,50,20,5,2,disconnected_graph,,0,,
warehouse,PBS,50,20,5,3,disconnected_graph,,0,,
warehouse,PBS,50,20,8,1,disconnected_graph,,0,,
warehouse,PBS,50,20,8,2,disconnected_graph,,0,,
warehouse,PBS,50,20,8,3,disconnected_graph,,0,,
warehouse,PBS,50,40,3,1,disconnected_graph,,0,,
warehouse,PBS,50,40,3,2,disconnected_graph,,0,,
warehouse,PBS,50,40,3,3,disconnected_graph,,0,,
warehouse,PBS,50,40,5,1,disconnected_graph,,0,,
warehouse,PBS,50,40,5,2,disconnected_graph,,0,,
warehouse,PBS,50,40,5,3,disconnected_graph,,0,,
warehouse,PBS,50,40,8,1,disconnected_graph,,0,,
warehouse,PBS,50,40,8,2,disconnected_graph,,0,,
warehouse,PBS,50,40,8,3,disconnected_graph,,0,,
warehouse,PBS,50,60,3,1,disconnected_graph,,0,,
warehouse,PBS,50,60,3,2,disconnected_graph,,0,,
warehouse,PBS,50,60,3,3,disconnected_graph,,0,,
warehouse,PBS,50,60,5,1,disconnected_graph,,0,,
warehouse,PBS,50,60,5,2,disconnected_graph,,0,,
warehouse,PBS,50,60,5,3,disconnected_graph,,0,,
warehouse,PBS,50,60,8,1,disconnected_graph,,0,,
warehouse,PBS,50,60,8,2,disconnected_graph,,0,,
warehouse,PBS,50,60,8,3,disconnected_graph,,0,,
warehouse,WHCA,50,20,3,1,success,120.002,1,0.0,128.91874194145203
warehouse,WHCA,50,20,3,2,success,3.1740118974358977,39,0.0,132.37940502166748
warehouse,WHCA,50,20,3,3,success,120.001,1,0.0,129.04060292243958
warehouse,WHCA,50,20,5,1,success,120.002,1,0.0,128.81889724731445
warehouse,WHCA,50,20,5,2,success,5.31494252173913,23,0.0,131.10304808616638
warehouse,WHCA,50,20,5,3,success,120.001,1,0.0,128.7887511253357
warehouse,WHCA,50,20,8,1,success,120.001,1,0.0,128.67652297019958
warehouse,WHCA,50,20,8,2,success,8.097566266666668,15,0.0,130.01967597007751
warehouse,WHCA,50,20,8,3,success,120.001,1,0.0,128.65465760231018
warehouse,WHCA,50,40,3,1,timeout,,0,,
warehouse,WHCA,50,40,3,2,success,3.210941076923077,39,0.0,134.12543606758118
warehouse,WHCA,50,40,3,3,success,120.001,1,0.0,129.17537307739258
warehouse,WHCA,50,40,5,1,success,120.0,1,0.0,130.5250039100647
warehouse,WHCA,50,40,5,2,success,5.347516086956523,23,0.0,134.97392797470093
warehouse,WHCA,50,40,5,3,success,120.001,1,0.0,135.0145230293274
warehouse,WHCA,50,40,8,1,success,120.0,1,0.0,133.03416991233826
warehouse,WHCA,50,40,8,2,success,8.129266266666667,15,0.0,131.11343216896057
warehouse,WHCA,50,40,8,3,success,120.001,1,0.0,128.68167209625244
warehouse,WHCA,50,60,3,1,success,120.001,1,0.0,128.51037693023682
warehouse,WHCA,50,60,3,2,timeout,,0,,
warehouse,WHCA,50,60,3,3,success,120.001,1,0.0,128.688738822937
warehouse,WHCA,50,60,5,1,timeout,,0,,
warehouse,WHCA,50,60,5,2,timeout,,0,,
warehouse,WHCA,50,60,5,3,success,120.001,1,0.0,128.59976387023926
