80
2068,0,;136,-1,;
9231,0,;14115,-1,;
5721,0,;93,-1,;
7909,0,;14132,-1,;
1978,0,;130,-1,;
9289,0,;14193,-1,;
2293,0,;109,-1,;
13055,0,;14174,-1,;
3642,0,;114,-1,;
9842,0,;14149,-1,;
12946,0,;94,-1,;
12753,0,;14155,-1,;
6881,0,;161,-1,;
12165,0,;14165,-1,;
10645,0,;145,-1,;
1102,0,;14177,-1,;
2088,0,;156,-1,;
2857,0,;14175,-1,;
8171,0,;106,-1,;
2841,0,;14123,-1,;
1335,0,;159,-1,;
3490,0,;14178,-1,;
1185,0,;92,-1,;
2810,0,;14155,-1,;
900,0,;144,-1,;
2805,0,;14192,-1,;
5654,0,;110,-1,;
3830,0,;14175,-1,;
13579,0,;138,-1,;
7493,0,;14180,-1,;
7722,0,;162,-1,;
1743,0,;14148,-1,;
5566,0,;105,-1,;
6151,0,;14116,-1,;
1420,0,;160,-1,;
10084,0,;14164,-1,;
13970,0,;111,-1,;
4282,0,;14168,-1,;
6050,0,;86,-1,;
3538,0,;14115,-1,;
4437,0,;153,-1,;
9793,0,;14152,-1,;
8088,0,;108,-1,;
4422,0,;14181,-1,;
309,0,;141,2,2;14183,-1,;
1423,0,;14126,-1,;
12477,0,;129,-1,;
13026,0,;14191,-1,;
11138,0,;134,-1,;
8151,0,;14190,-1,;
13937,0,;163,-1,;
2793,0,;14117,-1,;
3846,0,;150,-1,;
6477,0,;14153,-1,;
105,0,;104,1,1;14182,-1,;
1529,0,;14194,-1,;
1732,0,;135,-1,;
1820,0,;14170,-1,;
5010,0,;137,-1,;
4164,0,;14185,-1,;
9845,0,;101,-1,;
1375,0,;14141,-1,;
3897,0,;117,-1,;
7474,0,;14180,-1,;
13174,0,;154,-1,;
9554,0,;14124,-1,;
14189,0,;158,-1,;
10522,0,;14120,-1,;
9129,0,;140,-1,;
4233,0,;14121,-1,;
4413,0,;128,-1,;
13537,0,;14184,-1,;
14088,0,;142,-1,;
91,0,;14174,-1,;
13589,0,;149,-1,;
11022,0,;14177,-1,;
6196,0,;146,-1,;
9478,0,;14125,-1,;
6341,0,;125,-1,;
14108,0,;14127,-1,;
