50
4921,0,;133,-1,;
13466,0,;14142,-1,;
14021,0,;161,-1,;
7164,0,;14131,-1,;
182,0,;98,-1,;14172,-1,;
3497,0,;14142,-1,;
847,0,;91,-1,;
7449,0,;14117,-1,;
11758,0,;166,-1,;
2513,0,;14120,-1,;
12626,0,;110,-1,;
5033,0,;14116,-1,;
13360,0,;89,-1,;
5076,0,;14114,-1,;
2065,0,;132,-1,;
9662,0,;14148,-1,;
9246,0,;90,-1,;
2441,0,;14119,-1,;
442,0,;106,-1,;14172,-1,;
1988,0,;14181,-1,;
8877,0,;141,-1,;
11966,0,;14137,-1,;
2394,0,;126,-1,;
2834,0,;14143,-1,;
2434,0,;166,-1,;
14123,0,;14140,-1,;
5510,0,;134,-1,;
8079,0,;14157,-1,;
1703,0,;107,-1,;
2773,0,;14192,-1,;
2670,0,;150,-1,;
13794,0,;14167,-1,;
5690,0,;146,-1,;
927,0,;14136,-1,;
826,0,;154,-1,;
9128,0,;14122,-1,;
13561,0,;121,-1,;
13265,0,;14192,-1,;
235,0,;151,-1,;14191,-1,;
1804,0,;14116,-1,;
12747,0,;145,-1,;
851,0,;14172,-1,;
3157,0,;131,-1,;
8188,0,;14180,-1,;
1141,0,;135,-1,;
13831,0,;14121,-1,;
14166,0,;138,-1,;
7163,0,;14124,-1,;
8046,0,;149,-1,;
1992,0,;14143,-1,;
